"codigo_region"	"Year"	"Quarter"	"Birth_count"	"deathsum"	"mortality"
11	2019	4	252	0	0
12	2015	1	497	2	4.02414486921529
12	2015	2	524	2	3.81679389312977
12	2015	3	536	1	1.86567164179104
12	2015	4	475	1	2.10526315789474
12	2016	1	507	1	1.9723865877712
12	2016	2	468	1	2.13675213675214
12	2016	3	467	1	2.14132762312634
12	2016	4	431	1	2.32018561484919
12	2017	1	468	0	0
12	2017	2	453	1	2.2075055187638
12	2017	3	491	2	4.07331975560081
12	2017	4	471	0	0
12	2018	1	399	0	0
12	2018	2	464	1	2.1551724137931
12	2018	3	476	2	4.20168067226891
12	2018	4	418	0	0
12	2019	1	479	1	2.08768267223382
12	2019	2	414	0	0
12	2019	3	456	1	2.19298245614035
12	2019	4	394	2	5.07614213197969
13	2015	1	26528	19	0.716224366706876
13	2015	2	25237	35	1.38685263700123
13	2015	3	25204	56	2.22186954451674
13	2015	4	24118	42	1.74143793017663
13	2016	1	25356	26	1.02539832781196
13	2016	2	24263	32	1.31888060009067
13	2016	3	24018	46	1.91523024398368
13	2016	4	22980	33	1.43603133159269
13	2017	1	23564	19	0.806314717365473
13	2017	2	23036	38	1.64959194304567
13	2017	3	23098	40	1.73175166681098
13	2017	4	23029	34	1.47639932259325
13	2018	1	24114	32	1.32702994111305
13	2018	2	24247	30	1.23726646595455
13	2018	3	23391	41	1.75281091017913
13	2018	4	24082	32	1.32879328959389
13	2019	1	24003	25	1.04153647460734
13	2019	2	22722	39	1.71639820438342
13	2019	3	21900	41	1.87214611872146
13	2019	4	21146	36	1.70244963586494
14	2015	1	1102	0	0
14	2015	2	1126	2	1.77619893428064
14	2015	3	1166	2	1.71526586620926
14	2015	4	1270	3	2.36220472440945
14	2016	1	1179	0	0
14	2016	2	1108	3	2.70758122743682
14	2016	3	1106	1	0.904159132007233
14	2016	4	1139	1	0.877963125548727
14	2017	1	1084	2	1.8450184501845
14	2017	2	1064	2	1.8796992481203
14	2017	3	1041	1	0.960614793467819
14	2017	4	1079	0	0
14	2018	1	980	3	3.06122448979592
14	2018	2	1029	3	2.91545189504373
14	2018	3	1059	2	1.88857412653447
14	2018	4	1038	1	0.963391136801541
14	2019	1	1018	0	0
14	2019	2	1012	1	0.988142292490119
14	2019	3	1011	2	1.9782393669634
14	2019	4	963	1	1.03842159916926
15	2015	1	966	3	3.1055900621118
15	2015	2	895	1	1.11731843575419
15	2015	3	776	2	2.57731958762887
15	2015	4	777	0	0
15	2016	1	867	1	1.15340253748558
15	2016	2	772	2	2.59067357512953
15	2016	3	801	2	2.49687890137328
15	2016	4	729	1	1.37174211248285
