"codigo_comuna","income_mean","perc_occupancy","perc_less_highschool","perc_FFAA","perc_fonasa_A","perc_fonasa_B","perc_fonasa_C","perc_fonasa_D","perc_isapre","perc_woodCooking","perc_woodHeating","perc_woodWarmWater"
"13131",3916.43299044009,51.501343997902,45.4461509213617,0.186463054455378,28.9181059709009,29.7007063819362,9.10674669606522,9.78046357165217,5.56530970560614,0,0.558113007699515,0
"13132",26621.3007351072,60.349577277477,16.6478823513436,1.97254178424137,0.359507271543304,3.75651182982418,1.20333188626004,3.27355111786412,82.643260256132,0,0,0.657974899476057
"13201",4803.03105087117,57.1309738310999,34.6779384826965,1.31785018972418,19.5209771057982,28.1394417239031,12.9353466247315,13.1196401021673,16.6883700071125,0.379369669798484,2.03694991397879,0.264866909278759
"13202",7278.30066587177,48.7920579029734,32.5123336821647,2.28331080066096,18.0824695808923,9.11446597566471,11.2738470782635,15.5400330479195,23.1936307646087,0,55.2623798965262,0
"13203",5309.45310360601,59.6635548571957,41.0143974274647,1.70038111990619,17.6194664321313,33.6411609498681,7.21196130167106,18.9680445617121,7.79829961888009,3.04757728568296,61.8212380325952,0
"13301",7434.80888414946,54.2695638645439,49.8422049232064,0.429125138427464,31.999544003648,20.3472086509022,16.8653507914794,10.4805875838708,14.1163442121034,2.70394689021879,21.3198297514921,1.0636493591452
"13302",6068.83029291857,60.7820960998012,44.2227606572272,0.706955530216648,29.6351197263398,23.8211073102749,10.5257823387812,8.15279361459521,17.6409476751552,1.84468345332812,28.7899229595632,2.06660025974353
"13303",3835.31731463033,51.6733708769107,45.1259515999257,1.74867572914672,28.1958006254388,26.3386304167464,20.5118386623269,13.1086859403919,6.99470291658689,0.716358920521213,35.9785092323844,10.6218736491076
"13401",4138.16347885566,52.6964388404522,41.3525896834949,1.1422939539838,25.2700398823425,27.2396705345091,13.9373942107857,10.1419909338835,10.0575126028814,0.948185732320569,2.90481685583178,0.175958203900608
"13402",4174.19466958182,55.3720623442615,40.0552227002828,0.369938477622743,17.5305266261879,27.7829158121892,12.1208465693568,11.6530620451164,8.63725923840926,0,30.7416811439262,0
"13403",4453.02581342552,57.7826033514975,47.1344657882204,0.533367605950583,14.0667673424798,38.0393920894515,9.16042797930791,10.5934517880667,9.08652764836295,0.361962216224798,35.2436894745198,0
"13404",5421.94757396929,56.0716415752471,35.2183239718874,1.44015422123944,13.6644554062482,24.1764472415944,10.99676815785,14.4709984691274,18.2343936043545,0.637686871815085,45.7529772797658,2.67744024325009
"13501",4016.50406332692,54.5316495271274,44.761356888361,1.52282845593577,29.4944395805003,34.7158318275804,11.8491887562171,7.45673676955461,7.49771808579997,0,20.2596125296912,1.23589667458432
"13502",4763.10481855551,53.2336956521739,48.0641466208477,0,18.3751119068935,25.7385854968666,8.61683079677708,15.4879140555058,15.129811996419,3.14507198228128,67.5304540420819,1.10741971207087
"13503",3575.6853208966,49.3661675156064,43.4993500935231,4.29395568375508,20.1881473711813,43.0510030156025,6.17542939556838,5.529697128622,7.23416808705913,0,33.4749389721967,0
"13504",2961.03339529401,45.9078757968332,57.3271199134559,0.404687631734255,20.9088609729365,34.5164825900008,4.67076974959953,4.94899249641683,4.04687631734255,0,35.6661396355164,0
"13505",3484.94236119363,51.1701454775459,51.9342604298357,0,39.2161820480405,42.4273072060683,12.5410872313527,3.48925410872314,1.16308470290771,13.9570164348925,47.4336283185841,3.48925410872314
