"codigo_comuna";"year";"month";"Mortality_Count";"pop75";"mortality";"codigo_region";"codigo_provincia";"pop_pm25";"total_pop";"pm25_exposure";"pm25Exp_10ug";"quarter";"region";"commune";"quarter_text"
13121;"2015";"9";47;6792;6.91990577149588;13;131;2448625.63408282;98892;24.7606038312788;2.47606038312788;"3";"13";"13121";"Winter"
13121;"2015";"10";39;6792;5.74204946996466;13;131;1715409.1989015;98892;17.3462888696912;1.73462888696912;"4";"13";"13121";"Spring"
13121;"2015";"11";40;6792;5.88928150765607;13;131;1631945.19793258;98892;16.5022974349045;1.65022974349045;"4";"13";"13121";"Spring"
13121;"2015";"12";45;6792;6.62544169611307;13;131;1706572.89566302;98892;17.2569358053535;1.72569358053535;"4";"13";"13121";"Spring"
13121;"2016";"1";28;6792;4.12249705535925;13;131;1501361.68435812;98892;15.1818315370113;1.51818315370113;"1";"13";"13121";"Summer"
13121;"2016";"2";23;6792;3.38633686690224;13;131;1479693.78298345;98892;14.9627248208495;1.49627248208495;"1";"13";"13121";"Summer"
13121;"2016";"3";29;6792;4.26972909305065;13;131;2799987.36027469;98892;28.3135881595548;2.83135881595548;"1";"13";"13121";"Summer"
13121;"2016";"4";29;6792;4.26972909305065;13;131;3301427.21237042;98892;33.3841687130447;3.33841687130447;"2";"13";"13121";"Fall"
13121;"2016";"5";40;6792;5.88928150765607;13;131;4102072.05960325;98892;41.4803225701093;4.14803225701093;"2";"13";"13121";"Fall"
13121;"2016";"6";42;6792;6.18374558303887;13;131;5041459.52758036;98892;50.9794475547097;5.09794475547097;"2";"13";"13121";"Fall"
13121;"2016";"7";37;6792;5.44758539458186;13;131;4339749.15625795;98892;43.8837232158107;4.38837232158107;"3";"13";"13121";"Winter"
13121;"2016";"8";39;6792;5.74204946996466;13;131;4256717.72748068;98892;43.0441059689427;4.30441059689427;"3";"13";"13121";"Winter"
13121;"2016";"9";36;6792;5.30035335689046;13;131;2616667.05327683;98892;26.4598456222629;2.64598456222629;"3";"13";"13121";"Winter"
13121;"2016";"10";51;6792;7.50883392226148;13;131;1479179.58330245;98892;14.9575252123776;1.49575252123776;"4";"13";"13121";"Spring"
13121;"2016";"11";28;6792;4.12249705535925;13;131;1600113.46652885;98892;16.180413648514;1.6180413648514;"4";"13";"13121";"Spring"
13121;"2016";"12";35;6792;5.15312131919906;13;131;1927437.56373125;98892;19.4903284768358;1.94903284768358;"4";"13";"13121";"Spring"
13121;"2017";"1";39;6792;5.74204946996466;13;131;3835812.0757151;98892;38.7878905848309;3.87878905848309;"1";"13";"13121";"Summer"
13121;"2017";"2";42;6792;6.18374558303887;13;131;1707025.52563712;98892;17.2615128183991;1.72615128183991;"1";"13";"13121";"Summer"
13121;"2017";"3";36;6792;5.30035335689046;13;131;2060577.99896517;98892;20.8366500724545;2.08366500724545;"1";"13";"13121";"Summer"
13121;"2017";"4";38;6792;5.59481743227326;13;131;2582878.87577753;98892;26.1181781719201;2.61181781719201;"2";"13";"13121";"Fall"
13121;"2017";"5";24;6792;3.53356890459364;13;131;3930792.0663958;98892;39.748332184563;3.9748332184563;"2";"13";"13121";"Fall"
13121;"2017";"6";62;6792;9.1283863368669;13;131;4433379.73142535;98892;44.8305194699808;4.48305194699808;"2";"13";"13121";"Fall"
13121;"2017";"7";50;6792;7.36160188457008;13;131;4264196.36397643;98892;43.1197302509447;4.31197302509447;"3";"13";"13121";"Winter"
13121;"2017";"8";42;6792;6.18374558303887;13;131;3680737.87362487;98892;37.2197738302883;3.72197738302883;"3";"13";"13121";"Winter"
13121;"2017";"9";59;6792;8.6866902237927;13;131;2531978.80077303;98892;25.6034745052485;2.56034745052485;"3";"13";"13121";"Winter"
13121;"2017";"10";45;6792;6.62544169611307;13;131;1641006.8168672;98892;16.5939289008939;1.65939289008939;"4";"13";"13121";"Spring"
13121;"2017";"11";39;6792;5.74204946996466;13;131;1567370.93562263;98892;15.8493198198301;1.58493198198301;"4";"13";"13121";"Spring"
13121;"2017";"12";32;6792;4.71142520612485;13;131;1626374.17382725;98892;16.4459630084056;1.64459630084056;"4";"13";"13121";"Spring"
13121;"2018";"1";33;6792;4.85865724381625;13;131;1738143.0330825;98892;17.5761743425403;1.75761743425403;"1";"13";"13121";"Summer"
13121;"2018";"2";26;6792;3.82803297997644;13;131;1671798.5089036;98892;16.9052957661246;1.69052957661246;"1";"13";"13121";"Summer"
13121;"2018";"3";34;6792;5.00588928150766;13;131;2199902.75799671;98892;22.2455078064627;2.22455078064627;"1";"13";"13121";"Summer"
13121;"2018";"4";30;6792;4.41696113074205;13;131;2818832.25108566;98892;28.5041484759703;2.85041484759703;"2";"13";"13121";"Fall"
13121;"2018";"5";36;6792;5.30035335689046;13;131;3717315.93377309;98892;37.5896526895309;3.75896526895309;"2";"13";"13121";"Fall"
13121;"2018";"6";43;6792;6.33097762073027;13;131;4737230.90515921;98892;47.9030751239656;4.79030751239656;"2";"13";"13121";"Fall"
13121;"2018";"7";47;6792;6.91990577149588;13;131;4128962.47855104;98892;41.7522396002815;4.17522396002815;"3";"13";"13121";"Winter"
13121;"2018";"8";51;6792;7.50883392226148;13;131;4105725.52719432;98892;41.5172665857129;4.15172665857129;"3";"13";"13121";"Winter"
13121;"2018";"9";35;6792;5.15312131919906;13;131;2444795.69017873;98892;24.7218752798885;2.47218752798885;"3";"13";"13121";"Winter"
13121;"2018";"10";37;6792;5.44758539458186;13;131;1394779.72119504;98892;14.1040703109962;1.41040703109962;"4";"13";"13121";"Spring"
13121;"2018";"11";33;6792;4.85865724381625;13;131;1438031.92183681;98892;14.5414383553454;1.45414383553454;"4";"13";"13121";"Spring"
13121;"2018";"12";35;6792;5.15312131919906;13;131;1482935.24613001;98892;14.9955026304454;1.49955026304454;"4";"13";"13121";"Spring"
