CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Mortality_Count
4305,2019,3,5
4305,2019,4,4
5101,2015,1,273
5101,2015,2,265
5101,2015,3,306
5101,2015,4,283
5101,2016,1,247
5101,2016,2,314
5101,2016,3,369
5101,2016,4,254
5101,2017,1,253
5101,2017,2,337
5101,2017,3,345
5101,2017,4,281
5101,2018,1,265
5101,2018,2,333
5101,2018,3,375
5101,2018,4,275
5101,2019,1,254
5101,2019,2,312
5101,2019,3,357
5101,2019,4,281
5102,2015,1,18
5102,2015,2,20
5102,2015,3,31
5102,2015,4,11
5102,2016,1,13
5102,2016,2,22
5102,2016,3,33
5102,2016,4,24
5102,2017,1,26
5102,2017,2,32
5102,2017,3,26
5102,2017,4,30
5102,2018,1,13
5102,2018,2,28
5102,2018,3,22
5102,2018,4,19
5102,2019,1,22
5102,2019,2,22
5102,2019,3,31
5102,2019,4,23
5103,2015,1,21
5103,2015,2,20
5103,2015,3,37
5103,2015,4,27
5103,2016,1,26
5103,2016,2,20
5103,2016,3,34
5103,2016,4,27
5103,2017,1,28
5103,2017,2,35
5103,2017,3,26
5103,2017,4,18
5103,2018,1,31
5103,2018,2,34
5103,2018,3,30
5103,2018,4,26
5103,2019,1,26
5103,2019,2,25
5103,2019,3,26
5103,2019,4,27
5104,2015,1,3
5104,2015,2,1
5104,2015,3,1
5104,2015,4,1
5104,2016,2,1
5104,2016,3,1
5104,2017,2,1
5104,2017,4,1
5104,2018,3,1
5104,2019,2,1
5105,2015,1,10
5105,2015,2,13
5105,2015,3,12
5105,2015,4,18
5105,2016,1,15
5105,2016,2,21
5105,2016,3,17
5105,2016,4,9
5105,2017,1,13
5105,2017,2,27
5105,2017,3,22
5105,2017,4,11
5105,2018,1,13
5105,2018,2,17
5105,2018,3,20
5105,2018,4,15
5105,2019,1,14
5105,2019,2,18
5105,2019,3,24
5105,2019,4,13
5107,2015,1,22
5107,2015,2,24
5107,2015,3,25
5107,2015,4,28
5107,2016,1,30
5107,2016,2,26
5107,2016,3,28
5107,2016,4,23
5107,2017,1,17
5107,2017,2,19
5107,2017,3,28
5107,2017,4,27
5107,2018,1,24
5107,2018,2,16
5107,2018,3,36
5107,2018,4,22
5107,2019,1,33
5107,2019,2,24
5107,2019,3,32
5107,2019,4,26
5109,2015,1,335
5109,2015,2,352
5109,2015,3,407
5109,2015,4,343
5109,2016,1,337
5109,2016,2,344
5109,2016,3,435
5109,2016,4,345
5109,2017,1,314
5109,2017,2,362
5109,2017,3,428
5109,2017,4,350
5109,2018,1,331
5109,2018,2,388
5109,2018,3,474
5109,2018,4,390
5109,2019,1,353
5109,2019,2,425
5109,2019,3,437
5109,2019,4,369
5201,2015,1,3
5201,2015,2,8
5201,2015,3,2
5201,2016,1,2
5201,2016,2,2
5201,2016,3,2
5201,2016,4,3
5201,2017,1,3
5201,2017,2,3
5201,2017,3,5
5201,2017,4,2
5201,2018,1,2
5201,2018,2,1
5201,2018,3,2
5201,2018,4,3
5201,2019,1,3
5201,2019,2,4
5201,2019,3,3
5201,2019,4,5
5301,2015,1,48
5301,2015,2,44
5301,2015,3,67
5301,2015,4,54
5301,2016,1,56
5301,2016,2,45
5301,2016,3,64
5301,2016,4,54
5301,2017,1,59
5301,2017,2,70
5301,2017,3,64
5301,2017,4,53
5301,2018,1,40
5301,2018,2,57
5301,2018,3,74
5301,2018,4,60
5301,2019,1,45
5301,2019,2,59
5301,2019,3,85
5301,2019,4,55
