CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Gender,Mortality_Count
1401,1994.0,1,Hombre,1
1401,1994.0,1,Mujer,2
1401,1994.0,2,Hombre,4
1401,1994.0,2,Mujer,3
1401,1994.0,3,Hombre,4
1401,1994.0,3,Mujer,1
1401,1994.0,4,Mujer,3
1401,1995.0,1,Mujer,1
1401,1995.0,2,Hombre,2
1401,1995.0,3,Hombre,2
1401,1995.0,3,Mujer,1
1401,1995.0,4,Mujer,1
1401,1996.0,2,Mujer,1
1401,1996.0,3,Hombre,1
1401,1996.0,3,Mujer,4
1401,1996.0,4,Hombre,1
1401,1996.0,4,Mujer,1
1401,1997.0,1,Hombre,1
1401,1997.0,2,Hombre,2
1401,1997.0,2,Mujer,1
1401,1997.0,3,Hombre,1
1401,1997.0,3,Mujer,1
1401,1998.0,1,Mujer,1
1401,1998.0,2,Mujer,1
1401,1998.0,3,Hombre,2
1401,1998.0,3,Mujer,2
1401,1999.0,1,Hombre,3
1401,1999.0,1,Mujer,1
1401,1999.0,2,Hombre,3
1401,1999.0,2,Mujer,1
1401,1999.0,3,Hombre,2
1401,1999.0,3,Mujer,1
1401,1999.0,4,Hombre,1
1401,1999.0,4,Mujer,1
1401,2000.0,1,Hombre,1
1401,2000.0,1,Mujer,1
1401,2000.0,2,Hombre,2
1401,2000.0,3,Mujer,3
1401,2001.0,1,Hombre,1
1401,2001.0,1,Mujer,3
1401,2001.0,2,Hombre,1
1401,2001.0,2,Mujer,1
1401,2001.0,3,Hombre,1
1401,2001.0,3,Mujer,1
1401,2001.0,4,Hombre,2
1401,2002.0,1,Hombre,1
1401,2002.0,1,Mujer,1
1401,2002.0,2,Hombre,3
1401,2002.0,2,Mujer,1
1401,2002.0,3,Hombre,2
1401,2002.0,4,Mujer,1
1401,2003.0,1,Hombre,1
1401,2003.0,1,Mujer,1
1401,2003.0,2,Hombre,3
1401,2003.0,3,Hombre,3
1401,2003.0,3,Mujer,2
1401,2003.0,4,Hombre,1
1401,2003.0,4,Mujer,3
1401,2004.0,1,Hombre,4
1401,2004.0,1,Mujer,2
1401,2004.0,2,Hombre,1
1401,2004.0,3,Hombre,6
1401,2004.0,4,Hombre,1
1401,2004.0,4,Mujer,1
1401,2005.0,1,Mujer,2
1401,2005.0,2,Hombre,1
1401,2005.0,2,Mujer,1
1401,2005.0,3,Hombre,1
1401,2005.0,3,Mujer,1
1401,2005.0,4,Hombre,2
1401,2005.0,4,Mujer,1
1401,2006.0,2,Hombre,1
1401,2006.0,2,Mujer,2
1401,2006.0,3,Mujer,1
1401,2006.0,4,Hombre,1
1401,2006.0,4,Mujer,1
1401,2007.0,1,Hombre,1
1401,2007.0,2,Hombre,1
1401,2007.0,3,Hombre,3
1401,2007.0,3,Mujer,3
1401,2007.0,4,Hombre,1
1401,2007.0,4,Mujer,1
1401,2008.0,1,Hombre,2
1401,2008.0,2,Hombre,1
1401,2008.0,2,Mujer,2
1401,2008.0,4,Mujer,2
1401,2009.0,1,Mujer,1
1401,2009.0,2,Hombre,6
1401,2009.0,2,Mujer,3
1401,2009.0,3,Hombre,3
1401,2009.0,4,Hombre,1
1401,2009.0,4,Mujer,2
1401,2010.0,1,Hombre,2
1401,2010.0,1,Mujer,1
1401,2010.0,2,Hombre,2
1401,2010.0,2,Mujer,1
1401,2010.0,3,Hombre,2
1401,2010.0,3,Mujer,5
1401,2011.0,1,Hombre,4
1401,2011.0,2,Hombre,4
1401,2011.0,2,Mujer,1
1401,2011.0,3,Hombre,1
1401,2011.0,3,Mujer,3
1401,2011.0,4,Hombre,1
1401,2011.0,4,Mujer,2
1401,2012.0,1,Hombre,3
1401,2012.0,1,Mujer,1
1401,2012.0,2,Hombre,3
1401,2012.0,3,Hombre,2
1401,2012.0,3,Mujer,1
1401,2012.0,4,Hombre,1
1401,2012.0,4,Mujer,1
1401,2013.0,2,Hombre,1
1401,2013.0,3,Hombre,1
1401,2013.0,3,Mujer,6
1401,2013.0,4,Hombre,3
1401,2013.0,4,Mujer,4
1401,2014.0,1,Hombre,3
1401,2014.0,2,Hombre,1
1401,2014.0,2,Mujer,2
1401,2014.0,3,Hombre,5
1401,2014.0,3,Mujer,3
1401,2014.0,4,Hombre,1
1401,2014.0,4,Mujer,2
1401,2015.0,1,Hombre,3
1401,2015.0,1,Mujer,2
1401,2015.0,2,Hombre,1
1401,2015.0,2,Mujer,3
1401,2015.0,3,Hombre,6
1401,2015.0,3,Mujer,5
1401,2015.0,4,Hombre,4
1401,2015.0,4,Mujer,1
1401,2016.0,1,Hombre,2
1401,2016.0,1,Mujer,4
1401,2016.0,2,Hombre,1
1401,2016.0,3,Hombre,4
1401,2016.0,3,Mujer,1
1401,2016.0,4,Hombre,4
1401,2016.0,4,Mujer,3
1401,2017.0,1,Mujer,2
1401,2017.0,2,Hombre,1
1401,2017.0,2,Mujer,1
1401,2017.0,3,Hombre,3
1401,2017.0,3,Mujer,3
1401,2017.0,4,Hombre,1
1401,2018.0,1,Hombre,1
1401,2018.0,1,Mujer,2
1401,2018.0,2,Hombre,6
1401,2018.0,2,Mujer,1
1401,2018.0,3,Hombre,2
1401,2018.0,3,Mujer,3
1401,2018.0,4,Hombre,1
1401,2019.0,1,Hombre,5
1401,2019.0,1,Mujer,1
1401,2019.0,2,Hombre,7
1401,2019.0,2,Mujer,3
1401,2019.0,3,Hombre,1
1401,2019.0,3,Mujer,3
1401,2019.0,4,Hombre,2
1401,2019.0,4,Mujer,2
1402,1991.0,2,Hombre,1
1402,1991.0,3,Mujer,1
1402,1992.0,2,Mujer,1
1402,1993.0,4,Hombre,1
1402,1994.0,1,Mujer,1
1402,1994.0,2,Mujer,1
1402,1994.0,4,Mujer,1
1402,1995.0,2,Hombre,2
1402,1996.0,1,Hombre,1
1402,1997.0,3,Mujer,1
1402,1998.0,4,Mujer,1
1402,2001.0,1,Hombre,1
1402,2001.0,2,Mujer,1
1402,2004.0,2,Hombre,2
1402,2004.0,4,Hombre,1
1402,2005.0,2,Mujer,1
1402,2007.0,1,Mujer,1
1402,2008.0,2,Hombre,2
1402,2009.0,2,Hombre,1
1402,2009.0,4,Hombre,1
1402,2010.0,1,Hombre,1
1402,2010.0,1,Mujer,1
1402,2010.0,2,Hombre,1
1402,2010.0,4,Hombre,1
1402,2011.0,2,Hombre,1
1402,2012.0,2,Hombre,1
1402,2013.0,3,Mujer,1
1402,2013.0,4,Mujer,2
1402,2014.0,4,Hombre,1
1402,2015.0,2,Mujer,1
1402,2016.0,2,Hombre,1
1402,2016.0,4,Hombre,1
1402,2017.0,2,Hombre,2
1402,2017.0,2,Mujer,1
1402,2017.0,4,Mujer,1
1402,2018.0,1,Hombre,1
1402,2018.0,2,Hombre,1
1402,2018.0,3,Hombre,1
1403,1990.0,3,Hombre,1
1403,1990.0,4,Mujer,2
1403,1991.0,2,Mujer,1
1403,1992.0,2,Mujer,1
1403,1992.0,4,Mujer,1
1403,1993.0,3,Mujer,1
1403,1995.0,3,Mujer,2
1403,1995.0,4,Mujer,1
1403,1996.0,1,Hombre,1
1403,1996.0,4,Mujer,1
1403,1998.0,1,Mujer,1
1403,1998.0,2,Hombre,1
1403,1998.0,4,Hombre,1
1403,1999.0,2,Mujer,1
1403,2000.0,1,Mujer,1
1403,2000.0,2,Hombre,1
1403,2000.0,2,Mujer,1
1403,2001.0,2,Hombre,1
1403,2001.0,3,Hombre,1
1403,2003.0,3,Hombre,1
1403,2003.0,4,Mujer,1
1403,2004.0,1,Mujer,1
1403,2004.0,2,Hombre,1
1403,2005.0,1,Hombre,1
1403,2005.0,2,Hombre,1
1403,2005.0,2,Mujer,1
1403,2005.0,4,Mujer,1
1403,2006.0,1,Hombre,1
1403,2006.0,2,Hombre,1
1403,2006.0,3,Hombre,1
1403,2009.0,4,Hombre,1
1403,2010.0,2,Mujer,1
1403,2010.0,3,Hombre,1
