"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness"
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;3;"mp2.5";8.48148148148148;27;87.0967741935484
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;4;"mp2.5";10.5333333333333;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;5;"mp2.5";14.6774193548387;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;6;"mp2.5";16.8333333333333;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;7;"mp2.5";17.2758620689655;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;8;"mp2.5";17.741935483871;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;9;"mp2.5";11.1;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;10;"mp2.5";11.8387096774194;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;11;"mp2.5";10.5666666666667;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;12;"mp2.5";11.2666666666667;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;1;"mp2.5";8.17241379310345;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;2;"mp2.5";8.13793103448276;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;3;"mp2.5";8.44;25;80.6451612903226
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;4;"mp2.5";10.9;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;5;"mp2.5";12.8387096774194;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;6;"mp2.5";12.2413793103448;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;7;"mp2.5";13.7096774193548;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;8;"mp2.5";11;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;9;"mp2.5";9.7;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;10;"mp2.5";7.29032258064516;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;11;"mp2.5";5.4;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;12;"mp2.5";6.06896551724138;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;1;"mp2.5";6.03225806451613;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;2;"mp2.5";6.78571428571429;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;3;"mp2.5";7;26;83.8709677419355
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;4;"mp2.5";9.73333333333333;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;5;"mp2.5";14.5806451612903;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;6;"mp2.5";13.7333333333333;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;7;"mp2.5";17.2903225806452;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;8;"mp2.5";13.4838709677419;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;9;"mp2.5";10.4;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;10;"mp2.5";11.6774193548387;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;11;"mp2.5";9.36666666666667;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2021;12;"mp2.5";7.32258064516129;31;100
