CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Gender,Mortality_Count
2101,1997.0,4,Hombre,25
2101,1997.0,4,Mujer,34
2101,1998.0,1,Hombre,20
2101,1998.0,1,Mujer,32
2101,1998.0,2,Hombre,41
2101,1998.0,2,Mujer,50
2101,1998.0,3,Hombre,39
2101,1998.0,3,Mujer,46
2101,1998.0,4,Hombre,25
2101,1998.0,4,Mujer,45
2101,1999.0,1,Hombre,29
2101,1999.0,1,Mujer,39
2101,1999.0,2,Hombre,39
2101,1999.0,2,Mujer,54
2101,1999.0,3,Hombre,44
2101,1999.0,3,Mujer,48
2101,1999.0,4,Hombre,34
2101,1999.0,4,Mujer,38
2101,2000.0,1,Hombre,28
2101,2000.0,1,Mujer,26
2101,2000.0,2,Hombre,30
2101,2000.0,2,Mujer,39
2101,2000.0,3,Hombre,30
2101,2000.0,3,Mujer,44
2101,2000.0,4,Hombre,16
2101,2000.0,4,Mujer,34
2101,2001.0,1,Hombre,20
2101,2001.0,1,Mujer,31
2101,2001.0,2,Hombre,29
2101,2001.0,2,Mujer,29
2101,2001.0,3,Hombre,37
2101,2001.0,3,Mujer,45
2101,2001.0,4,Hombre,24
2101,2001.0,4,Mujer,37
2101,2002.0,1,Hombre,32
2101,2002.0,1,Mujer,31
2101,2002.0,2,Hombre,22
2101,2002.0,2,Mujer,31
2101,2002.0,3,Hombre,35
2101,2002.0,3,Mujer,43
2101,2002.0,4,Hombre,19
2101,2002.0,4,Mujer,32
2101,2003.0,1,Hombre,36
2101,2003.0,1,Mujer,31
2101,2003.0,2,Hombre,33
2101,2003.0,2,Mujer,43
2101,2003.0,3,Hombre,29
2101,2003.0,3,Mujer,43
2101,2003.0,4,Hombre,27
2101,2003.0,4,Mujer,30
2101,2004.0,1,Hombre,28
2101,2004.0,1,Mujer,25
2101,2004.0,2,Hombre,34
2101,2004.0,2,Mujer,62
2101,2004.0,3,Hombre,31
2101,2004.0,3,Mujer,53
2101,2004.0,4,Hombre,28
2101,2004.0,4,Mujer,40
2101,2005.0,1,Hombre,29
2101,2005.0,1,Mujer,29
2101,2005.0,2,Hombre,31
2101,2005.0,2,Mujer,42
2101,2005.0,3,Hombre,37
2101,2005.0,3,Mujer,40
2101,2005.0,4,Hombre,34
2101,2005.0,4,Mujer,41
2101,2006.0,1,Hombre,23
2101,2006.0,1,Mujer,35
2101,2006.0,2,Hombre,30
2101,2006.0,2,Mujer,38
2101,2006.0,3,Hombre,38
2101,2006.0,3,Mujer,66
2101,2006.0,4,Hombre,31
2101,2006.0,4,Mujer,46
2101,2007.0,1,Hombre,35
2101,2007.0,1,Mujer,40
2101,2007.0,2,Hombre,34
2101,2007.0,2,Mujer,51
2101,2007.0,3,Hombre,40
2101,2007.0,3,Mujer,71
2101,2007.0,4,Hombre,37
2101,2007.0,4,Mujer,47
2101,2008.0,1,Hombre,34
2101,2008.0,1,Mujer,34
2101,2008.0,2,Hombre,37
2101,2008.0,2,Mujer,49
2101,2008.0,3,Hombre,49
2101,2008.0,3,Mujer,44
2101,2008.0,4,Hombre,38
2101,2008.0,4,Mujer,46
2101,2009.0,1,Hombre,29
2101,2009.0,1,Mujer,34
2101,2009.0,2,Hombre,28
2101,2009.0,2,Mujer,43
2101,2009.0,3,Hombre,34
2101,2009.0,3,Mujer,43
2101,2009.0,4,Hombre,24
2101,2009.0,4,Mujer,25
2101,2010.0,1,Hombre,27
2101,2010.0,1,Mujer,40
2101,2010.0,2,Hombre,34
2101,2010.0,2,Mujer,38
2101,2010.0,3,Hombre,50
2101,2010.0,3,Mujer,45
2101,2010.0,4,Hombre,22
2101,2010.0,4,Mujer,40
2101,2011.0,1,Hombre,29
2101,2011.0,1,Mujer,31
2101,2011.0,2,Hombre,31
2101,2011.0,2,Mujer,53
2101,2011.0,3,Hombre,41
2101,2011.0,3,Mujer,39
2101,2011.0,4,Hombre,28
2101,2011.0,4,Mujer,34
2101,2012.0,1,Hombre,22
2101,2012.0,1,Mujer,38
2101,2012.0,2,Hombre,25
2101,2012.0,2,Mujer,47
2101,2012.0,3,Hombre,39
2101,2012.0,3,Mujer,58
2101,2012.0,4,Hombre,30
2101,2012.0,4,Mujer,38
2101,2013.0,1,Hombre,28
2101,2013.0,1,Mujer,38
2101,2013.0,2,Hombre,34
2101,2013.0,2,Mujer,63
2101,2013.0,3,Hombre,54
2101,2013.0,3,Mujer,62
2101,2013.0,4,Hombre,30
2101,2013.0,4,Mujer,45
2101,2014.0,1,Hombre,31
2101,2014.0,1,Mujer,34
2101,2014.0,2,Hombre,36
2101,2014.0,2,Mujer,43
2101,2014.0,3,Hombre,39
2101,2014.0,3,Mujer,57
2101,2014.0,4,Hombre,43
2101,2014.0,4,Mujer,69
2101,2015.0,1,Hombre,42
2101,2015.0,1,Mujer,45
2101,2015.0,2,Hombre,36
2101,2015.0,2,Mujer,43
2101,2015.0,3,Hombre,38
2101,2015.0,3,Mujer,57
2101,2015.0,4,Hombre,20
2101,2015.0,4,Mujer,35
2101,2016.0,1,Hombre,38
2101,2016.0,1,Mujer,39
2101,2016.0,2,Hombre,28
2101,2016.0,2,Mujer,52
2101,2016.0,3,Hombre,39
2101,2016.0,3,Mujer,65
2101,2016.0,4,Hombre,44
2101,2016.0,4,Mujer,48
2101,2017.0,1,Hombre,51
2101,2017.0,1,Mujer,59
2101,2017.0,2,Hombre,42
2101,2017.0,2,Mujer,57
2101,2017.0,3,Hombre,49
2101,2017.0,3,Mujer,59
2101,2017.0,4,Hombre,29
2101,2017.0,4,Mujer,55
2101,2018.0,1,Hombre,24
2101,2018.0,1,Mujer,61
2101,2018.0,2,Hombre,36
2101,2018.0,2,Mujer,55
2101,2018.0,3,Hombre,40
2101,2018.0,3,Mujer,61
2101,2018.0,4,Hombre,38
2101,2018.0,4,Mujer,58
2101,2019.0,1,Hombre,41
2101,2019.0,1,Mujer,55
2101,2019.0,2,Hombre,37
2101,2019.0,2,Mujer,53
2101,2019.0,3,Hombre,44
2101,2019.0,3,Mujer,53
2101,2019.0,4,Hombre,40
2101,2019.0,4,Mujer,58
2102,1997.0,4,Mujer,3
2102,1998.0,1,Mujer,1
2102,1998.0,2,Mujer,1
2102,1998.0,3,Hombre,2
2102,1998.0,3,Mujer,3
2102,1999.0,1,Hombre,1
2102,1999.0,2,Mujer,2
2102,1999.0,3,Mujer,1
2102,2000.0,3,Hombre,1
2102,2000.0,4,Mujer,1
2102,2001.0,1,Mujer,1
2102,2001.0,2,Hombre,1
2102,2001.0,3,Hombre,1
2102,2001.0,3,Mujer,2
2102,2001.0,4,Hombre,1
2102,2002.0,1,Hombre,1
2102,2002.0,2,Hombre,1
2102,2002.0,3,Hombre,1
2102,2002.0,4,Hombre,2
2102,2003.0,2,Mujer,1
2102,2003.0,3,Hombre,1
2102,2004.0,1,Mujer,1
2102,2004.0,2,Hombre,2
2102,2004.0,3,Hombre,1
2102,2004.0,3,Mujer,1
2102,2004.0,4,Mujer,3
2102,2005.0,4,Hombre,1
2102,2006.0,2,Hombre,1
2102,2006.0,2,Mujer,2
2102,2006.0,3,Hombre,1
2102,2007.0,2,Hombre,1
2102,2007.0,4,Hombre,1
2102,2007.0,4,Mujer,1
2102,2008.0,3,Hombre,2
2102,2008.0,3,Mujer,1
2102,2009.0,1,Mujer,1
2102,2009.0,3,Hombre,1
2102,2009.0,4,Hombre,1
2102,2010.0,1,Hombre,3
2102,2010.0,1,Mujer,1
2102,2010.0,2,Hombre,1
2102,2010.0,2,Mujer,1
2102,2010.0,3,Hombre,1
2102,2010.0,3,Mujer,1
2102,2011.0,1,Hombre,1
2102,2011.0,2,Mujer,1
2102,2011.0,3,Mujer,1
2102,2011.0,4,Mujer,1
2102,2012.0,1,Mujer,1
2102,2012.0,2,Hombre,2
2102,2012.0,3,Hombre,3
2102,2012.0,4,Hombre,1
2102,2013.0,2,Hombre,1
2102,2013.0,2,Mujer,1
2102,2013.0,3,Mujer,1
2102,2013.0,4,Hombre,1
2102,2013.0,4,Mujer,2
2102,2014.0,1,Mujer,2
2102,2014.0,2,Hombre,2
2102,2014.0,2,Mujer,2
2102,2014.0,3,Hombre,1
2102,2014.0,4,Hombre,1
2102,2014.0,4,Mujer,1
2102,2015.0,1,Hombre,2
2102,2015.0,2,Hombre,1
2102,2015.0,2,Mujer,2
2102,2015.0,3,Hombre,1
2102,2015.0,4,Mujer,1
2102,2016.0,1,Hombre,1
2102,2016.0,2,Mujer,2
2102,2016.0,3,Mujer,1
2102,2017.0,1,Hombre,3
2102,2017.0,2,Hombre,1
2102,2017.0,2,Mujer,1
2102,2017.0,4,Hombre,1
2102,2017.0,4,Mujer,1
2102,2018.0,1,Hombre,1
2102,2018.0,1,Mujer,2
2102,2018.0,2,Hombre,1
2102,2018.0,4,Hombre,1
2102,2019.0,1,Mujer,1
2102,2019.0,2,Hombre,1
2102,2019.0,3,Hombre,1
2102,2019.0,3,Mujer,1
2102,2019.0,4,Mujer,7
2103,1999.0,3,Mujer,1
