"site";"latitude";"longitude";"pm25_satellite";"year";"month"
"San Carlos";-36.5267751891327;-72.0698455639087;23.8999996185303;"2016";"08"
"San Carlos";-36.5267751891327;-72.0698455639087;22.8576280771025;"2016";"09"
"San Carlos";-36.5267751891327;-72.0698455639087;12.8797271693709;"2016";"10"
"San Carlos";-36.5267751891327;-72.0698455639087;9.23986348866728;"2016";"11"
"San Carlos";-36.5267751891327;-72.0698455639087;8.74670487823646;"2016";"12"
"San Carlos";-36.5267751891327;-72.0698455639087;29.1437765541182;"2017";"01"
"San Carlos";-36.5267751891327;-72.0698455639087;13.1244059973478;"2017";"02"
"San Carlos";-36.5267751891327;-72.0698455639087;15.5195404689423;"2017";"03"
"San Carlos";-36.5267751891327;-72.0698455639087;15.3540325681059;"2017";"04"
"San Carlos";-36.5267751891327;-72.0698455639087;32.6030500134486;"2017";"05"
"San Carlos";-36.5267751891327;-72.0698455639087;31.7000007629395;"2017";"06"
"San Carlos";-36.5267751891327;-72.0698455639087;31.781150711102;"2017";"07"
"San Carlos";-36.5267751891327;-72.0698455639087;22.0484753747454;"2017";"08"
"San Carlos";-36.5267751891327;-72.0698455639087;23.2086122940283;"2017";"09"
"San Carlos";-36.5267751891327;-72.0698455639087;13.442371159958;"2017";"10"
"San Carlos";-36.5267751891327;-72.0698455639087;8.84847510318485;"2017";"11"
"San Carlos";-36.5267751891327;-72.0698455639087;8.62839765346752;"2017";"12"
"San Carlos";-36.5267751891327;-72.0698455639087;11.6659850902423;"2018";"01"
"San Carlos";-36.5267751891327;-72.0698455639087;11.0660954470104;"2018";"02"
"San Carlos";-36.5267751891327;-72.0698455639087;12.3127540802625;"2018";"03"
"San Carlos";-36.5267751891327;-72.0698455639087;22.8807511312585;"2018";"04"
"San Carlos";-36.5267751891327;-72.0698455639087;31.563532137947;"2018";"05"
"San Carlos";-36.5267751891327;-72.0698455639087;36.3246067648606;"2018";"06"
"San Carlos";-36.5267751891327;-72.0698455639087;34.9637376694198;"2018";"07"
"San Carlos";-36.5267751891327;-72.0698455639087;25.2000007629395;"2018";"08"
"San Carlos";-36.5267751891327;-72.0698455639087;19.3999996185303;"2018";"09"
"San Carlos";-36.5267751891327;-72.0698455639087;10.7576286493071;"2018";"10"
"San Carlos";-36.5267751891327;-72.0698455639087;7.22264018010793;"2018";"11"
"San Carlos";-36.5267751891327;-72.0698455639087;7.06874806959421;"2018";"12"
"San Carlos";-36.5267751891327;-72.0698455639087;9.71514725993872;"2019";"01"
"San Carlos";-36.5267751891327;-72.0698455639087;13.9398588689102;"2019";"02"
"San Carlos";-36.5267751891327;-72.0698455639087;13.5901043813101;"2019";"03"
"San Carlos";-36.5267751891327;-72.0698455639087;26.6468508986835;"2019";"04"
"San Carlos";-36.5267751891327;-72.0698455639087;32.2789850082079;"2019";"05"
"San Carlos";-36.5267751891327;-72.0698455639087;29.1000003814697;"2019";"06"
"San Carlos";-36.5267751891327;-72.0698455639087;28.9315925593894;"2019";"07"
"San Carlos";-36.5267751891327;-72.0698455639087;26.7840053597859;"2019";"08"
"San Carlos";-36.5267751891327;-72.0698455639087;21.2743102991238;"2019";"09"
"San Carlos";-36.5267751891327;-72.0698455639087;12.9687480159411;"2019";"10"
"San Carlos";-36.5267751891327;-72.0698455639087;9.49084653470344;"2019";"11"
"San Carlos";-36.5267751891327;-72.0698455639087;6.79010462634877;"2019";"12"
"San Carlos";-36.5267751891327;-72.0698455639087;13.6243556162155;"2020";"01"
"San Carlos";-36.5267751891327;-72.0698455639087;13.1250031218783;"2020";"02"
"San Carlos";-36.5267751891327;-72.0698455639087;14.4746518686022;"2020";"03"
"San Carlos";-36.5267751891327;-72.0698455639087;22.8640733195487;"2020";"04"
"San Carlos";-36.5267751891327;-72.0698455639087;29.8822344578904;"2020";"05"
"San Carlos";-36.5267751891327;-72.0698455639087;30.3908461532337;"2020";"06"
"San Carlos";-36.5267751891327;-72.0698455639087;31.7969505878394;"2020";"07"
"San Carlos";-36.5267751891327;-72.0698455639087;25.9987160992686;"2020";"08"
"San Carlos";-36.5267751891327;-72.0698455639087;21.557628840042;"2020";"09"
"San Carlos";-36.5267751891327;-72.0698455639087;14.6994581266058;"2020";"10"
"San Carlos";-36.5267751891327;-72.0698455639087;10.0362123244494;"2020";"11"
"San Carlos";-36.5267751891327;-72.0698455639087;7.41166136708426;"2020";"12"
"San Carlos";-36.5267751891327;-72.0698455639087;11.1133769528631;"2021";"01"
"San Carlos";-36.5267751891327;-72.0698455639087;10.8140284860662;"2021";"02"
"San Carlos";-36.5267751891327;-72.0698455639087;14.7164814545085;"2021";"03"
"San Carlos";-36.5267751891327;-72.0698455639087;17.4628503733063;"2021";"04"
"San Carlos";-36.5267751891327;-72.0698455639087;43.1509826833165;"2021";"05"
"San Carlos";-36.5267751891327;-72.0698455639087;32.9086130569678;"2021";"06"
"San Carlos";-36.5267751891327;-72.0698455639087;32.5999984741211;"2021";"07"
"San Carlos";-36.5267751891327;-72.0698455639087;33.8759357576987;"2021";"08"
"San Carlos";-36.5267751891327;-72.0698455639087;22.5157990685675;"2021";"09"
"San Carlos";-36.5267751891327;-72.0698455639087;14.8908462405276;"2021";"10"
"San Carlos";-36.5267751891327;-72.0698455639087;9.99384118710666;"2021";"11"
"San Carlos";-36.5267751891327;-72.0698455639087;21.5006831262652;"2021";"12"
"San Fernando";-34.5798816256345;-70.9896709012778;13.2976591633008;"2015";"01"
"San Fernando";-34.5798816256345;-70.9896709012778;16.5520923026024;"2015";"02"
"San Fernando";-34.5798816256345;-70.9896709012778;18.0556633335894;"2015";"03"
"San Fernando";-34.5798816256345;-70.9896709012778;29.1619162431945;"2015";"04"
"San Fernando";-34.5798816256345;-70.9896709012778;33.9805313178179;"2015";"05"
"San Fernando";-34.5798816256345;-70.9896709012778;39.9422861053559;"2015";"06"
"San Fernando";-34.5798816256345;-70.9896709012778;40.0467275574773;"2015";"07"
"San Fernando";-34.5798816256345;-70.9896709012778;25.3908774481454;"2015";"08"
"San Fernando";-34.5798816256345;-70.9896709012778;21.4661971208019;"2015";"09"
"San Fernando";-34.5798816256345;-70.9896709012778;14.3293605390288;"2015";"10"
"San Fernando";-34.5798816256345;-70.9896709012778;12.1999998092651;"2015";"11"
"San Fernando";-34.5798816256345;-70.9896709012778;12.3042030929094;"2015";"12"
"San Fernando";-34.5798816256345;-70.9896709012778;12.8281139412652;"2016";"01"
"San Fernando";-34.5798816256345;-70.9896709012778;14.1467283845825;"2016";"02"
"San Fernando";-34.5798816256345;-70.9896709012778;21.6855887388632;"2016";"03"
"San Fernando";-34.5798816256345;-70.9896709012778;23.9815391596211;"2016";"04"
"San Fernando";-34.5798816256345;-70.9896709012778;36.5037405494034;"2016";"05"
"San Fernando";-34.5798816256345;-70.9896709012778;40.950931013276;"2016";"06"
"San Fernando";-34.5798816256345;-70.9896709012778;38.690108028777;"2016";"07"
"San Fernando";-34.5798816256345;-70.9896709012778;30.4625242951558;"2016";"08"
"San Fernando";-34.5798816256345;-70.9896709012778;22.5260125374965;"2016";"09"
"San Fernando";-34.5798816256345;-70.9896709012778;14.8987530207667;"2016";"10"
"San Fernando";-34.5798816256345;-70.9896709012778;12.4488295283864;"2016";"11"
"San Fernando";-34.5798816256345;-70.9896709012778;12.8510842177895;"2016";"12"
"San Fernando";-34.5798816256345;-70.9896709012778;26.4767043862589;"2017";"01"
"San Fernando";-34.5798816256345;-70.9896709012778;15.051323365348;"2017";"02"
"San Fernando";-34.5798816256345;-70.9896709012778;16.9372880378306;"2017";"03"
"San Fernando";-34.5798816256345;-70.9896709012778;24.9304541788921;"2017";"04"
"San Fernando";-34.5798816256345;-70.9896709012778;31.6378443492821;"2017";"05"
"San Fernando";-34.5798816256345;-70.9896709012778;40.121570440035;"2017";"06"
"San Fernando";-34.5798816256345;-70.9896709012778;40.9524168631478;"2017";"07"
"San Fernando";-34.5798816256345;-70.9896709012778;27.7347921198633;"2017";"08"
"San Fernando";-34.5798816256345;-70.9896709012778;21.5532719327214;"2017";"09"
"San Fernando";-34.5798816256345;-70.9896709012778;13.7598151635564;"2017";"10"
"San Fernando";-34.5798816256345;-70.9896709012778;12.6260126708923;"2017";"11"
"San Fernando";-34.5798816256345;-70.9896709012778;10.0780373644156;"2017";"12"
"San Fernando";-34.5798816256345;-70.9896709012778;12.0716470646131;"2018";"01"
"San Fernando";-34.5798816256345;-70.9896709012778;12.9278905945067;"2018";"02"
"San Fernando";-34.5798816256345;-70.9896709012778;14.8170504321262;"2018";"03"
"San Fernando";-34.5798816256345;-70.9896709012778;22.2999992370605;"2018";"04"
"San Fernando";-34.5798816256345;-70.9896709012778;30.2479746582154;"2018";"05"
"San Fernando";-34.5798816256345;-70.9896709012778;40.5044419381408;"2018";"06"
"San Fernando";-34.5798816256345;-70.9896709012778;36.5045961287783;"2018";"07"
"San Fernando";-34.5798816256345;-70.9896709012778;27.7089539110558;"2018";"08"
"San Fernando";-34.5798816256345;-70.9896709012778;22.7000007629395;"2018";"09"
"San Fernando";-34.5798816256345;-70.9896709012778;12.3065431666692;"2018";"10"
"San Fernando";-34.5798816256345;-70.9896709012778;10.2467282580134;"2018";"11"
"San Fernando";-34.5798816256345;-70.9896709012778;10.0780373644156;"2018";"12"
"San Fernando";-34.5798816256345;-70.9896709012778;11.2008546525684;"2019";"01"
"San Fernando";-34.5798816256345;-70.9896709012778;14.6379358044553;"2019";"02"
"San Fernando";-34.5798816256345;-70.9896709012778;15.9366728032159;"2019";"03"
"San Fernando";-34.5798816256345;-70.9896709012778;25.3270199877016;"2019";"04"
"San Fernando";-34.5798816256345;-70.9896709012778;32.4750873907861;"2019";"05"
"San Fernando";-34.5798816256345;-70.9896709012778;37.5056898119468;"2019";"06"
"San Fernando";-34.5798816256345;-70.9896709012778;40.7488297414425;"2019";"07"
"San Fernando";-34.5798816256345;-70.9896709012778;27.7490687974497;"2019";"08"
"San Fernando";-34.5798816256345;-70.9896709012778;21.4306073325914;"2019";"09"
"San Fernando";-34.5798816256345;-70.9896709012778;13.4467280672786;"2019";"10"
"San Fernando";-34.5798816256345;-70.9896709012778;12.3260124801574;"2019";"11"
"San Fernando";-34.5798816256345;-70.9896709012778;11.3042030929094;"2019";"12"
"San Fernando";-34.5798816256345;-70.9896709012778;13.9054496265072;"2020";"01"
"San Fernando";-34.5798816256345;-70.9896709012778;14.1627012361495;"2020";"02"
"San Fernando";-34.5798816256345;-70.9896709012778;15.9373745128609;"2020";"03"
