"region";"province";"commune";"site";"longitude";"latitude";"year";"pollutant";"value";"n";"completeness"
"M";"Santiago";"Cerro Navia";"Cerro Navia";-70.7320550936643;-33.433070402768;2017;"mp2.5";29.7926964139942;343;93.972602739726
"M";"Santiago";"Cerro Navia";"Cerro Navia";-70.7320550936643;-33.433070402768;2018;"mp2.5";31.8338108882521;349;95.6164383561644
"M";"Santiago";"Cerro Navia";"Cerro Navia";-70.7320550936643;-33.433070402768;2019;"mp2.5";30.4441340782123;358;98.0821917808219
"M";"Santiago";"Cerro Navia";"Cerro Navia";-70.7320550936643;-33.433070402768;2020;"mp2.5";27.6491712707182;362;99.1780821917808
"M";"Santiago";"Cerro Navia";"Cerro Navia";-70.7320550936643;-33.433070402768;2021;"mp2.5";29.1643454038997;359;98.3561643835616
"M";"Santiago";"Cerro Navia";"Cerro Navia";-70.7320550936643;-33.433070402768;2022;"mp2.5";28.3613445378151;357;97.8082191780822
"M";"Santiago";"El Bosque";"El Bosque";-70.6661628607822;-33.54701601897;2015;"mp2.5";34.5934917714286;350;95.8904109589041
"M";"Santiago";"El Bosque";"El Bosque";-70.6661628607822;-33.54701601897;2016;"mp2.5";34.9310796521739;345;94.5205479452055
"M";"Santiago";"El Bosque";"El Bosque";-70.6661628607822;-33.54701601897;2017;"mp2.5";32.7714664756447;349;95.6164383561644
"M";"Santiago";"El Bosque";"El Bosque";-70.6661628607822;-33.54701601897;2018;"mp2.5";30.9226361031519;349;95.6164383561644
"M";"Santiago";"El Bosque";"El Bosque";-70.6661628607822;-33.54701601897;2019;"mp2.5";28.3947368421053;342;93.6986301369863
"M";"Santiago";"El Bosque";"El Bosque";-70.6661628607822;-33.54701601897;2020;"mp2.5";26.5276243093923;362;99.1780821917808
"M";"Santiago";"El Bosque";"El Bosque";-70.6661628607822;-33.54701601897;2021;"mp2.5";30.1779661016949;354;96.986301369863
"M";"Santiago";"El Bosque";"El Bosque";-70.6661628607822;-33.54701601897;2022;"mp2.5";28.6111111111111;360;98.6301369863014
"M";"Santiago";"La Florida";"La Florida";-70.5881601035897;-33.5166668832046;2015;"mp2.5";30.6945416338028;355;97.2602739726027
"M";"Santiago";"La Florida";"La Florida";-70.5881601035897;-33.5166668832046;2016;"mp2.5";29.3633652873563;348;95.3424657534246
"M";"Santiago";"La Florida";"La Florida";-70.5881601035897;-33.5166668832046;2018;"mp2.5";25.0753012048193;332;90.958904109589
"M";"Santiago";"La Florida";"La Florida";-70.5881601035897;-33.5166668832046;2019;"mp2.5";25.2069970845481;343;93.972602739726
"M";"Santiago";"La Florida";"La Florida";-70.5881601035897;-33.5166668832046;2020;"mp2.5";21.0342857142857;350;95.8904109589041
"M";"Santiago";"La Florida";"La Florida";-70.5881601035897;-33.5166668832046;2021;"mp2.5";23.969014084507;355;97.2602739726027
"M";"Santiago";"La Florida";"La Florida";-70.5881601035897;-33.5166668832046;2022;"mp2.5";25.6822157434402;343;93.972602739726
