"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness";"pm25_satellite"
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;3;"mp2.5";8.63779821428571;28;90.3225806451613;15.488077181896
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;4;"mp2.5";10.0183492307692;26;83.8709677419355;14.8468803227424
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;5;"mp2.5";10.2258064516129;31;100;14.952960018909
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;6;"mp2.5";13.6071428571429;28;90.3225806451613;17.5354651361213
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;7;"mp2.5";13.0666666666667;30;96.7741935483871;19.2973123546978
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;8;"mp2.5";8.51612903225806;31;100;11.652115613884
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;9;"mp2.5";7.37931034482759;29;93.5483870967742;14.0877944215376
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;10;"mp2.5";6.35483870967742;31;100;11.7486609672303
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;11;"mp2.5";4.4;30;96.7741935483871;11.8450920325913
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;12;"mp2.5";5.38709677419355;31;100;13.2053177513028
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;1;"mp2.5";5.19354838709677;31;100;12.2574730206959
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;2;"mp2.5";6.32;25;80.6451612903226;15.2094441790338
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;3;"mp2.5";9.7037037037037;27;87.0967741935484;15.1426755663631
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;4;"mp2.5";10.4814814814815;27;87.0967741935484;18.6645120650801
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;5;"mp2.5";11.9;30;96.7741935483871;16.6960377746897
